Point;Game;Set;Serve State;Match Server;guest Game Score;host Game Score;Point Winner;Detail;Break Point;Set Point;Favorited;Start Time;Video Time;Duration
1;1;1;second;host;0;0;host;Forehand Unforced Error;false;false;false;16:22:58;88,050003;29,42
2;1;1;second;host;0;15;guest;Double Fault;false;false;false;16:23:39;129,589996;8,87
3;1;1;second;host;15;15;host;Service Winner;false;false;false;16:24:15;165,330002;8,45
4;1;1;second;host;15;30;host;Forehand Unforced Error;false;false;false;16:24:37;186,889999;22,280001
5;1;1;second;host;15;40;guest;Backhand Unforced Error;false;false;false;16:25:17;227,300003;10,9
6;1;1;first;host;30;40;host;Service Winner;false;false;false;16:25:42;252,529999;1,85
7;2;1;second;guest;0;0;guest;Backhand Unforced Error;false;false;false;16:26:52;321,799988;29,389999
8;2;1;second;guest;15;0;host;Backhand Winner;false;false;false;16:27:46;376,040009;16,870001
9;2;1;first;guest;15;15;host;Backhand Winner;false;false;false;16:28:22;412,269989;14,07
10;2;1;second;guest;15;30;host;Forehand Unforced Error;false;false;false;16:28:54;444,440002;19,25
11;2;1;first;guest;15;40;guest;Forehand Unforced Error;true;false;false;16:29:24;474,380005;5,62
12;2;1;second;guest;30;40;host;Double Fault;true;false;false;16:29:55;505,040009;17,17
13;3;1;second;host;0;0;guest;Double Fault;false;false;false;16:30:42;552,25;10,05
14;3;1;first;host;15;0;host;Service Winner;false;false;false;16:31:04;574;2,3
15;3;1;first;host;15;15;host;Backhand Unforced Error;false;false;false;16:31:17;587,679993;8,97
16;3;1;first;host;15;30;host;Backhand Unforced Error;false;false;false;16:31:43;613,280029;7,13
17;3;1;first;host;15;40;host;Service Winner;false;false;false;16:32:01;630,75;3,75
18;4;1;second;guest;0;0;host;Forehand Winner;false;false;false;16:33:18;708,52002;12
19;4;1;first;guest;0;15;guest;Service Winner;false;false;false;16:33:53;743,419983;2,87
20;4;1;first;guest;15;15;host;Forehand Unforced Error;false;false;false;16:34:16;765,890015;4,82
21;4;1;first;guest;15;30;host;Forehand Unforced Error;false;false;false;16:34:42;792,559998;7,17
22;4;1;first;guest;15;40;host;Backhand Winner;true;false;false;16:35:08;818,530029;2,33
23;5;1;second;host;0;0;host;Forehand Unforced Error;false;false;false;16:35:38;848,26001;19,469999
24;5;1;first;host;0;15;host;Service Winner;false;false;false;16:36:14;883,900024;2,12
25;5;1;second;host;0;30;host;Service Winner;false;false;false;16:36:28;897,900024;7,52
26;5;1;first;host;0;40;host;Service Winner;false;false;false;16:36:56;925,900024;2,12
