Player;Shot;Type;Stroke;Spin;Speed (KM/H);Point;Game;Set;Bounce Depth;Bounce Zone;Bounce Side;Bounce (x);Bounce (y);Hit Depth;Hit Zone;Hit Side;Hit (x);Hit (y);Hit (z);Direction;Result;Favorited;Start Time;Video Time
Rikard Rykkvin;1;first_serve;Serve;Flat;105,88839;1;1;1;deep;deuce;far;-2,436954;21,439552;deep;deuce;near;1,454102;0,001245;2,277344;down the T;Out;false;07:18:14;189,990005
Rasmus Kopperud Riis;1;none;Forehand;Flat;52,842472;1;1;1;short;ad;near;-1,970561;6,464625;deep;deuce;far;-2,992188;23,927341;1,564453;down the line;In;false;07:18:15;191,059998
Rikard Rykkvin;1;second_serve;Serve;Flat;81,200752;1;1;1;short;deuce;far;-2,241675;16,792995;deep;deuce;near;1,624023;0,341897;2,519531;out wide;In;false;07:18:20;196,509995
Rasmus Kopperud Riis;2;second_return;Forehand;Topspin;73,096718;1;1;1;deep;ad;near;-0,573832;4,54754;out;deuce;far;-3,84375;25,427341;0,837891;down the line;In;false;07:18:22;198,130005
Rikard Rykkvin;3;serve_plus_one;Backhand;Flat;75,533714;1;1;1;out;deuce;far;-1,291992;24,867315;out;deuce;near;0,152588;-1,026905;1,317383;inside out;Out;false;07:18:23;199,660004
Rasmus Kopperud Riis;4;return_plus_one;Backhand;Topspin;48,201225;1;1;1;short;deuce_out;near;6,950049;6,572741;deep;ad_alley;far;4,453125;22,302341;1,625;down the line;Out;false;07:18:32;207,809998
Rikard Rykkvin;1;first_serve;Serve;Flat;80,160728;2;1;1;deep;ad;far;1,779101;20,753471;deep;ad;near;-1,124023;1,199658;2,320312;down the T;Out;false;07:18:42;218,130005
Rasmus Kopperud Riis;1;none;Forehand;Flat;59,337383;2;1;1;deep;deuce;near;4,073518;1,922097;out;ad;far;1,854492;24,927341;1,299805;inside in;In;false;07:18:43;219,529999
Rikard Rykkvin;1;second_serve;Serve;Flat;75,005432;2;1;1;short;ad;far;2,465164;17,310751;deep;ad;near;-0,733398;1,12049;2,199219;out wide;In;false;07:18:49;225,330002
Rasmus Kopperud Riis;2;second_return;Forehand;Flat;84,847717;2;1;1;deep;ad;near;-2,367755;2,919644;out;ad;far;2,771484;25,614841;1,154297;inside out;In;false;07:18:51;226,860001
Rikard Rykkvin;3;serve_plus_one;Backhand;Topspin;72,732277;2;1;1;out;deuce;far;-0,454658;25,679565;out;ad;near;-2,273438;-0,706592;1,359375;down the line;Out;false;07:18:52;228,210007
Rasmus Kopperud Riis;4;return_plus_one;Forehand;Flat;78,342049;2;1;1;deep;ad;near;-3,095703;3,71875;deep;deuce;far;-2,552734;22,114841;1,675781;down the line;In;false;07:18:57;232,960007
Rasmus Kopperud Riis;0;none;Feed;Topspin;34,843319;3;1;1;out;ad_alley;near;-4,546754;-1,120078;deep;deuce;far;-3,359375;23,411716;1,572266;---;Out;false;07:19:03;239,529999
Rikard Rykkvin;1;first_serve;Serve;Flat;110,431282;3;1;1;short;deuce;far;-2,883315;17,484663;deep;deuce;near;0,969238;0,096491;2,376953;out wide;In;false;07:19:13;249,229996
Rasmus Kopperud Riis;2;first_return;Forehand;Topspin;40,547703;3;1;1;short;deuce;far;-3,064453;12,117188;out;deuce_alley;far;-4,308594;24,583591;1,255859;down the line;Net;false;07:19:14;250,330002
Rikard Rykkvin;1;first_serve;Serve;Flat;54,17878;4;1;1;short;deuce;near;2,826172;6,047267;deep;ad;near;-0,910645;1,410595;2,193359;out wide;Net;false;07:19:26;262,730011
Rikard Rykkvin;1;second_serve;Serve;Flat;75,425362;4;1;1;short;ad;far;2,412951;15,236567;deep;ad;near;-1,288086;1,059033;2,412109;out wide;In;false;07:19:34;270,700012
Rasmus Kopperud Riis;2;second_return;Forehand;Flat;62,256893;4;1;1;short;ad;near;-0,71979;7,135484;out;ad;far;3,048828;25,583591;0,854492;inside out;In;false;07:19:36;272,130005
Rikard Rykkvin;3;serve_plus_one;Backhand;Topspin;62,097191;4;1;1;deep;ad_alley;far;4,731648;22,390625;deep;ad;near;-2,078125;0,129345;0,469238;down the line;Out;false;07:19:38;274,019989
Rikard Rykkvin;1;first_serve;Serve;Flat;112,453461;5;1;1;short;deuce;far;-2,605669;16,871319;deep;deuce;near;1,098633;0,145853;2,353516;out wide;In;false;07:19:59;295,269989
Rasmus Kopperud Riis;2;first_return;Forehand;Topspin;68,516258;5;1;1;deep;ad;near;-3,404489;4,54426;out;deuce;far;-4,089844;24,880466;1,00293;down the line;In;false;07:20:00;296,369995
