Point;Game;Set;Serve State;Match Server;Host Game Score;Guest Game Score;Point Winner;Detail;Break Point;Set Point;Favorited;Start Time;Video Time;Duration
1;1;1;second;host;0;0;host;Service Winner;false;false;false;06:20:20;33,279999;7,8
2;1;1;second;host;15;0;host;Forehand Unforced Error;false;false;false;06:20:45;57,860001;11,64
3;1;1;second;host;30;0;guest;Forehand Unforced Error;false;false;false;06:21:19;91,540001;10,24
4;1;1;second;host;30;15;host;Forehand Unforced Error;false;false;false;06:21:50;122,349998;15,17
5;1;1;second;host;40;15;host;Service Winner;false;false;false;06:22:23;156,270004;27,280001
6;2;1;first;guest;0;0;guest;Forehand Unforced Error;false;false;false;06:23:48;240,440002;7,44
7;2;1;first;guest;0;15;host;;false;false;false;06:24:12;264,679993;8,27
8;2;1;first;guest;15;15;host;Backhand Unforced Error;false;false;false;06:24:45;297,859985;3,13
9;2;1;first;guest;30;15;host;Forehand Unforced Error;false;false;false;06:25:11;323,570007;9,54
10;2;1;second;guest;40;15;host;Backhand Unforced Error;true;false;false;06:25:40;353,079987;11,64
11;3;1;first;host;0;0;guest;Forehand Unforced Error;false;false;false;06:26:31;404,070007;5,77
12;3;1;first;host;0;15;guest;Forehand Unforced Error;false;false;false;06:26:52;424,350006;4,2
13;3;1;second;host;0;30;host;Backhand Unforced Error;false;false;false;06:27:12;445,220001;14,37
14;3;1;first;host;15;30;guest;Forehand Unforced Error;false;false;false;06:27:51;483,369995;3,64
15;3;1;first;host;15;40;guest;Forehand Unforced Error;true;false;true;06:28:08;500,980011;9,7
16;4;1;second;guest;0;0;guest;Backhand Unforced Error;false;false;false;06:29:28;580,450012;21,879999
17;4;1;second;guest;0;15;host;Forehand Unforced Error;false;false;false;06:30:02;614,559998;23,209999
18;4;1;first;guest;15;15;guest;;false;false;false;06:30:45;657,710022;7,1
19;4;1;first;guest;15;30;host;Forehand Unforced Error;false;false;false;06:31:02;675,219971;14,44
20;4;1;first;guest;30;30;host;Backhand Unforced Error;false;false;false;06:31:34;707,070007;7,5
21;4;1;first;guest;40;30;host;Forehand Unforced Error;true;false;false;06:31:58;730,47998;3,7
22;5;1;first;host;0;0;guest;Forehand Winner;false;false;false;06:32:31;763,690002;1,77
23;5;1;second;host;0;15;host;Forehand Unforced Error;false;false;false;06:32:49;781,700012;11,4
24;5;1;second;host;15;15;host;Forehand Winner;false;false;false;06:33:13;805,539978;20,639999
25;5;1;first;host;30;15;host;Ace;false;false;false;06:34:04;856,330017;1,8
26;5;1;second;host;40;15;host;Service Winner;false;false;false;06:34:19;872,140015;21,01
27;6;1;second;guest;0;0;host;Forehand Winner;false;false;false;06:35:45;957,640015;11,64
28;6;1;first;guest;15;0;guest;;false;false;false;06:36:11;983,380005;8,7
29;6;1;first;guest;15;15;guest;Forehand Unforced Error;false;false;false;06:36:38;1010,900024;4,5
30;6;1;first;guest;15;30;guest;Forehand Unforced Error;false;false;false;06:37:03;1036,170044;5,84
31;6;1;first;guest;15;40;guest;Service Winner;false;false;false;06:37:21;1054,050049;5,84
32;7;1;first;host;0;0;host;Forehand Unforced Error;false;false;false;06:38:10;1102,439941;8,4
33;7;1;first;host;15;0;guest;Forehand Unforced Error;false;false;false;06:38:34;1126,849976;7,6
34;7;1;second;host;15;15;host;Service Winner;false;false;false;06:38:53;1145,75;11,91
35;7;1;first;host;30;15;host;Forehand Unforced Error;false;false;false;06:39:24;1177,170044;4,9
36;7;1;first;host;40;15;host;Forehand Unforced Error;false;false;false;06:39:42;1194,369995;12,11
37;8;1;first;guest;0;0;host;Forehand Winner;false;false;false;06:41:16;1288,810059;4,6
38;8;1;first;guest;15;0;host;Forehand Unforced Error;false;false;false;06:41:36;1308,689941;3,74
39;8;1;first;guest;30;0;guest;Service Winner;false;false;false;06:41:52;1324,530029;2
