Stat Name;Host Set 1;Guest Set 1;Host Set 2;Guest Set 2;Host Set 3;Guest Set 3;Host Set 4;Guest Set 4;Host Set 5;Guest Set 5
1st Serves;27;20;15;37;;;;;;
1st Serves In;19;14;7;19;;;;;;
1st Serves Won;13;6;7;9;;;;;;
2nd Serves;8;6;8;18;;;;;;
2nd Serves In;6;5;5;8;;;;;;
2nd Serves Won;5;3;5;6;;;;;;
Break Points;1;4;0;7;;;;;;
Break Points Saved;1;2;0;4;;;;;;
1st Returns;14;19;19;7;;;;;;
1st Returns Won;8;6;10;0;;;;;;
2nd Returns;6;8;18;8;;;;;;
2nd Returns Won;3;3;12;3;;;;;;
Break Point Opportunities;4;1;7;0;;;;;;
Break Points Won;2;0;3;0;;;;;;
Set Points Saved;0;1;0;4;;;;;;
Set Point Opportunities;2;0;5;0;;;;;;
Set Points Won;1;0;1;0;;;;;;
Total Points;47;47;52;52;;;;;;
Total Points Won;29;18;34;18;;;;;;
Aces;2;0;1;1;;;;;;
Service Winners;8;2;5;6;;;;;;
Forehand Winners;2;2;5;1;;;;;;
Backhand Winners;2;0;0;0;;;;;;
Forehand Unforced Errors;9;5;1;4;;;;;;
Backhand Unforced Errors;2;9;5;3;;;;;;
Forehand Forced Errors;0;0;0;0;;;;;;
Backhand Forced Errors;0;0;0;0;;;;;;
Calories Burned (kCAL);0;0;0;0;;;;;;
Distance Run (KM);0;0;0;0;;;;;;
Average Heart Rate (BPM);0;0;0;0;;;;;;
