Stat Name;Host Set 1;Guest Set 1;Host Set 2;Guest Set 2;Host Set 3;Guest Set 3;Host Set 4;Guest Set 4;Host Set 5;Guest Set 5
1st Serves;14;20;17;24;;;;;;
1st Serves In;9;14;10;17;;;;;;
1st Serves Won;2;11;6;10;;;;;;
2nd Serves;5;6;7;7;;;;;;
2nd Serves In;4;5;5;6;;;;;;
2nd Serves Won;0;2;5;3;;;;;;
Break Points;3;0;1;4;;;;;;
Break Points Saved;0;0;0;2;;;;;;
1st Returns;14;9;17;10;;;;;;
1st Returns Won;3;7;7;4;;;;;;
2nd Returns;6;5;7;7;;;;;;
2nd Returns Won;4;5;4;2;;;;;;
Break Point Opportunities;0;3;4;1;;;;;;
Break Points Won;0;3;2;1;;;;;;
Set Points Saved;0;0;0;0;;;;;;
Set Point Opportunities;0;1;0;0;;;;;;
Set Points Won;0;1;0;0;;;;;;
Total Points;34;34;41;41;;;;;;
Total Points Won;9;25;22;19;;;;;;
Aces;0;2;0;1;;;;;;
Service Winners;0;5;5;5;;;;;;
Forehand Winners;0;2;0;1;;;;;;
Backhand Winners;1;2;3;0;;;;;;
Forehand Unforced Errors;4;1;3;10;;;;;;
Backhand Unforced Errors;6;3;3;2;;;;;;
Forehand Forced Errors;0;0;0;0;;;;;;
Backhand Forced Errors;0;0;0;0;;;;;;
Calories Burned (kCAL);0;0;0;0;;;;;;
Distance Run (KM);0;0;0;0;;;;;;
Average Heart Rate (BPM);0;0;0;0;;;;;;
