Game;Set;Server;Host Set Score;Guest Set Score;Game Winner;Start Time;Video Time;Duration
1;1;guest;0;0;host;07:17:43;187,479996;382,829987
2;1;host;1;0;host;07:24:06;570,309998;198,389999
3;1;guest;2;0;guest;07:27:24;768,690002;255,179993
4;1;host;2;1;host;07:31:40;1023,869995;114,379997
5;1;guest;3;1;host;07:33:34;1138,25;273,019989
6;1;host;4;1;host;07:38:07;1411,27002;306,429993
7;1;guest;5;1;host;07:43:13;1717,699951;586,25
8;2;host;0;0;guest;07:53:00;2303,949951;184,679993
9;2;guest;0;1;host;07:56:04;2488,629883;168,509995
10;2;host;1;1;host;07:58:53;2657,129883;128,820007
11;2;guest;2;1;host;08:01:02;2785,949951;167,070007
12;2;host;3;1;draw;08:03:49;2953,02002;
