Player;Shot;Type;Stroke;Spin;Speed (KM/H);Point;Game;Set;Bounce Depth;Bounce Zone;Bounce Side;Bounce (x);Bounce (y);Hit Depth;Hit Zone;Hit Side;Hit (x);Hit (y);Hit (z);Direction;Result;Favorited;Start Time;Video Time
Rikard Rykkvin;1;first_serve;Serve;Flat;97,020119;1;1;1;deep;deuce;near;2,649958;4,696379;deep;deuce;far;-0,608398;22,364841;2,28125;out wide;Out;false;07:21:11;
Rasmus Kopperud Riis;1;none;Forehand;Flat;77,270546;1;1;1;deep;ad;far;1,472035;22,769623;out;deuce_alley;near;4,261719;-0,347217;1,233398;down the line;In;false;07:21:12;
Rikard Rykkvin;1;second_serve;Serve;Flat;91,780449;1;1;1;short;deuce;near;2,753394;7,072756;deep;deuce;far;-0,871094;23,67791;2,273438;out wide;In;false;07:21:17;
Rasmus Kopperud Riis;2;second_return;Forehand;Topspin;103,29512;1;1;1;short;ad;far;0,189417;17,633856;out;deuce_alley;near;4,636719;-0,73003;0,926758;down the line;In;false;07:21:19;
Rikard Rykkvin;3;serve_plus_one;Forehand;Flat;64,193634;1;1;1;deep;deuce;near;0,306952;2,990934;deep;deuce;far;-0,841309;22,989841;1,060547;cross court;In;false;07:21:20;
Rasmus Kopperud Riis;4;return_plus_one;Forehand;Topspin;87,453873;1;1;1;short;ad;far;1,14887;16,396448;out;deuce;near;0,619629;-1,378467;1,208984;down the line;In;false;07:21:21;
Rikard Rykkvin;5;in_play;Backhand;Flat;69,116768;1;1;1;short;ad;near;-2,516704;7,724813;out;ad;far;1,397461;24,833591;0,656738;cross court;In;false;07:21:23;
Rasmus Kopperud Riis;6;in_play;Backhand;Flat;57,256184;1;1;1;deep;deuce;far;-0,995086;20,802883;deep;ad;near;-4,078125;0,590283;0,929688;down the line;In;false;07:21:24;
Rikard Rykkvin;7;in_play;Forehand;Flat;88,656853;1;1;1;deep;ad;near;-1,439513;5,314401;deep;deuce;far;-0,713379;24,083591;0,966797;down the line;In;false;07:21:27;
Rasmus Kopperud Riis;8;in_play;Backhand;Flat;95,950974;1;1;1;deep;deuce;far;-0,442972;18,358879;out;ad;near;-1,657227;-0,347217;1,004883;down the line;In;false;07:21:28;
Rikard Rykkvin;9;in_play;Forehand;Topspin;43,269432;1;1;1;short;deuce;far;-2,001953;12,070312;deep;ad;far;0,122864;24,036716;0,8125;inside in;Net;false;07:21:29;
Rikard Rykkvin;1;first_serve;Serve;Flat;68,236633;2;1;1;short;deuce;far;-2,150391;12,375;deep;ad;far;1,412109;24,271091;2,46875;out wide;Net;false;07:21:39;
Rikard Rykkvin;1;second_serve;Serve;Flat;79,425545;2;1;1;short;ad;near;-2,068988;6,564058;deep;ad;far;1,224609;23,896091;2,609375;down the T;In;false;07:21:47;
Rasmus Kopperud Riis;2;second_return;Forehand;Flat;85,030914;2;1;1;deep;ad;far;2,815751;23,625738;out;ad;near;-2,832031;-0,23003;1,420898;inside out;In;false;07:21:48;
Rikard Rykkvin;3;serve_plus_one;Backhand;Flat;65,705597;2;1;1;deep;ad_out;near;-6,280007;3,813627;deep;ad;far;2,638672;24,364841;0,400879;down the line;Out;false;07:21:50;
Rasmus Kopperud Riis;4;return_plus_one;Backhand;Topspin;62,52317;2;1;1;deep;deuce;far;-0,951383;20,197416;out;ad_out;near;-5,550781;-0,581592;1,328125;down the line;In;false;07:21:52;
