Point;Game;Set;Serve State;Match Server;Host Game Score;Guest Game Score;Point Winner;Detail;Break Point;Set Point;Favorited;Start Time;Video Time;Duration
1;1;1;second;host;0;0;host;Backhand Unforced Error;false;false;false;19:18:01;69,160004;13,44
2;1;1;first;host;15;0;host;Forehand Unforced Error;false;false;false;19:18:23;91,839996;11,17
3;1;1;second;host;30;0;guest;Double Fault;false;false;false;19:18:52;120,790001;6,54
4;1;1;first;host;30;15;host;Forehand Unforced Error;false;false;false;19:19:15;143,300003;5,6
5;1;1;second;host;40;15;guest;Forehand Winner;false;false;false;19:19:34;162,339996;11,11
6;1;1;second;host;40;30;guest;Forehand Winner;false;false;false;19:20:08;196,949997;11,27
7;1;1;second;host;40;40;host;;false;false;false;19:20:41;229,429993;14,84
8;1;1;first;host;AD;40;guest;Forehand Unforced Error;false;false;false;19:21:19;267,450012;7,34
9;1;1;first;host;40;40;host;Backhand Unforced Error;false;false;false;19:21:40;288,920013;4,87
10;1;1;first;host;AD;40;host;Service Winner;false;false;false;19:21:58;306,429993;2,67
11;2;1;first;guest;0;0;guest;Service Winner;false;false;false;19:23:02;370,190002;2,7
12;2;1;second;guest;0;15;host;Double Fault;false;false;false;19:23:20;388,929993;8,9
13;2;1;first;guest;15;15;guest;Forehand Unforced Error;false;false;false;19:23:44;413,01001;7,77
14;2;1;second;guest;15;30;host;Backhand Winner;false;false;false;19:24:09;437,290009;19,040001
15;2;1;first;guest;30;30;host;Forehand Winner;false;false;false;19:24:36;464,600006;5,64
16;2;1;first;guest;40;30;guest;Service Winner;true;false;false;19:24:53;481,940002;2,47
17;2;1;first;guest;40;40;guest;Service Winner;false;false;false;19:25:15;503,25;2,23
18;2;1;first;guest;40;AD;host;Forehand Unforced Error;false;false;false;19:25:32;520,98999;6,7
19;2;1;first;guest;40;40;host;Forehand Unforced Error;false;false;false;19:25:58;546,969971;4,64
20;2;1;first;guest;AD;40;host;Backhand Unforced Error;true;false;false;19:26:18;566,780029;5,34
21;3;1;second;host;0;0;guest;Double Fault;false;false;false;19:27:02;610,429993;6,2
22;3;1;first;host;0;15;host;Ace;false;false;false;19:27:22;630,940002;0,67
23;3;1;second;host;15;15;host;Backhand Unforced Error;false;false;false;19:27:29;637,340027;41,119999
24;3;1;first;host;30;15;host;Service Winner;false;false;false;19:28:26;694,359985;1,93
25;3;1;first;host;40;15;guest;Forehand Unforced Error;false;false;false;19:28:41;709,400024;6,37
26;3;1;second;host;40;30;guest;Forehand Unforced Error;false;false;false;19:29:02;730,97998;16,309999
